record_number,date,time,location,sample_duration_s,flow_CFM,laser_ok,flow_ok,temp_ok,rh_ok,temp_C,RH_pct,ch1_size_um,ch1_diff_counts,ch1_diff_ft3,ch1_diff_m3,ch1_diff_mass_ugm3,ch1_sum_m3,ch1_pm_ugm3,ch2_size_um,ch2_diff_counts,ch2_diff_ft3,ch2_diff_m3,ch2_diff_mass_ugm3,ch2_sum_m3,ch2_pm_ugm3,ch3_size_um,ch3_diff_counts,ch3_diff_ft3,ch3_diff_m3,ch3_diff_mass_ugm3,ch3_sum_m3,ch3_pm_ugm3,ch4_size_um,ch4_diff_counts,ch4_diff_ft3,ch4_diff_m3,ch4_diff_mass_ugm3,ch4_sum_m3,ch4_pm_ugm3,ch5_size_um,ch5_diff_counts,ch5_diff_ft3,ch5_diff_m3,ch5_diff_mass_ugm3,ch5_sum_m3,ch5_pm_ugm3,ch6_size_um,ch6_diff_counts,ch6_diff_ft3,ch6_diff_m3,ch6_diff_mass_ugm3,ch6_sum_m3,ch6_pm_ugm3
1,,,,60.0,0.1,True,True,True,True,0.0,,0.3,18734.0,187354.0,6616373.0,0.55,8085931.0,0.0,0.5,2543.0,25432.0,898123.0,0.5,1469558.0,0.55,1.0,775.0,7750.0,273710.0,1.92,571435.0,1.05,2.5,511.0,5110.0,180472.0,12.46,297725.0,2.97,5.0,287.0,2870.0,101361.0,55.98,117253.0,15.43,10.0,45.0,450.0,15892.0,70.209999,15892.0,71.410004
2,,,,60.0,0.1,True,True,True,True,0.0,,0.3,18662.0,186625.0,6590614.0,0.55,7953443.0,0.0,0.5,2541.0,25410.0,897371.0,0.5,1362829.0,0.55,1.0,673.0,6730.0,237674.0,1.67,465458.0,1.05,2.5,401.0,4010.0,141615.0,9.78,227784.0,2.72,5.0,210.0,2100.0,74162.0,40.959999,86169.0,12.5,10.0,34.0,340.0,12007.0,53.049999,12007.0,53.459999
3,,,,60.0,0.1,True,True,True,True,0.0,,0.3,112361.0,1123653.0,39681432.0,3.32,41797920.0,0.0,0.5,4957.0,49571.0,1750615.0,0.97,2116488.0,3.32,1.0,782.0,7820.0,276171.0,1.94,365873.0,4.29,2.5,200.0,2000.0,70632.0,4.88,89702.0,6.23,5.0,45.0,450.0,15892.0,8.78,19070.0,11.110001,10.0,9.0,90.0,3178.0,14.04,3178.0,19.889999
4,,,,60.0,0.1,True,True,True,True,0.0,,0.3,112100.0,1120865.0,39583004.0,3.32,41641600.0,0.0,0.5,4849.0,48484.0,1712203.0,0.95,2058596.0,3.32,1.0,789.0,7889.0,278599.0,1.95,346393.0,4.27,2.5,161.0,1609.0,56849.0,3.93,67794.0,6.22,5.0,27.0,269.0,9533.0,5.27,10945.0,10.150001,10.0,4.0,39.0,1412.0,6.24,1412.0,15.42
5,,,,60.0,0.1,True,True,True,True,0.0,,0.3,112557.0,1125508.0,39746948.0,3.33,41903492.0,0.0,0.5,5113.0,51127.0,1805539.0,1.0,2156545.0,3.33,1.0,783.0,7829.0,276498.0,1.94,351006.0,4.33,2.5,178.0,1779.0,62856.0,4.34,74508.0,6.27,5.0,22.0,219.0,7768.0,4.29,11652.0,10.610001,10.0,11.0,109.0,3884.0,17.16,3884.0,14.900001
6,,,,60.0,0.1,True,True,True,True,0.0,,0.3,24111.0,241131.0,8515496.0,0.71,8983809.0,0.0,0.5,1085.0,10850.0,383199.0,0.21,468313.0,0.71,1.0,190.0,1900.0,67103.0,0.47,85114.0,0.92,2.5,46.0,460.0,16246.0,1.12,18011.0,1.39,5.0,5.0,50.0,1765.0,0.98,1765.0,2.51,10.0,0.0,0.0,0.0,0.0,0.0,3.49
7,,,,60.0,0.1,True,True,True,True,0.0,,0.3,16292.0,162939.0,5754156.0,0.48,6041296.0,0.0,0.5,675.0,6750.0,238402.0,0.13,287140.0,0.48,1.0,102.0,1020.0,36025.0,0.25,48738.0,0.61,2.5,30.0,300.0,10595.0,0.73,12713.0,0.86,5.0,5.0,50.0,1765.0,0.98,2118.0,1.59,10.0,1.0,10.0,353.0,1.56,353.0,2.57
8,,,,60.0,0.1,True,True,True,True,0.0,,0.3,8827.0,88274.0,3117376.0,0.26,3283715.0,0.0,0.5,392.0,3920.0,138440.0,0.08,166339.0,0.26,1.0,71.0,710.0,25074.0,0.18,27899.0,0.34,2.5,7.0,70.0,2472.0,0.17,2825.0,0.52,5.0,1.0,10.0,353.0,0.2,353.0,0.69,10.0,0.0,0.0,0.0,0.0,0.0,0.89
9,,,,60.0,0.1,True,True,True,True,0.0,,0.3,6870.0,68706.0,2426353.0,0.2,2561619.0,0.0,0.5,315.0,3150.0,111252.0,0.06,135266.0,0.2,1.0,49.0,490.0,17305.0,0.12,24014.0,0.26,2.5,15.0,150.0,5297.0,0.37,6709.0,0.38,5.0,3.0,30.0,1059.0,0.59,1412.0,0.75,10.0,1.0,10.0,353.0,1.56,353.0,1.34
10,,,,60.0,0.1,True,True,True,True,0.0,,0.3,3774.0,37747.0,1333056.0,0.11,1395221.0,0.0,0.5,146.0,1460.0,51570.0,0.03,62165.0,0.11,1.0,22.0,220.0,7770.0,0.05,10595.0,0.14,2.5,7.0,70.0,2472.0,0.17,2825.0,0.19,5.0,1.0,10.0,353.0,0.2,353.0,0.36,10.0,0.0,0.0,0.0,0.0,0.0,0.56
