record_number,date,time,location,sample_duration_s,flow_CFM,laser_ok,flow_ok,temp_ok,rh_ok,timestamp_valid,temp_C,RH_pct,ch1_size_um,ch1_diff_counts,ch1_diff_ft3,ch1_diff_m3,ch1_diff_mass_ugm3,ch1_sum_m3,ch1_pm_ugm3,ch2_size_um,ch2_diff_counts,ch2_diff_ft3,ch2_diff_m3,ch2_diff_mass_ugm3,ch2_sum_m3,ch2_pm_ugm3,ch3_size_um,ch3_diff_counts,ch3_diff_ft3,ch3_diff_m3,ch3_diff_mass_ugm3,ch3_sum_m3,ch3_pm_ugm3,ch4_size_um,ch4_diff_counts,ch4_diff_ft3,ch4_diff_m3,ch4_diff_mass_ugm3,ch4_sum_m3,ch4_pm_ugm3,ch5_size_um,ch5_diff_counts,ch5_diff_ft3,ch5_diff_m3,ch5_diff_mass_ugm3,ch5_sum_m3,ch5_pm_ugm3,ch6_size_um,ch6_diff_counts,ch6_diff_ft3,ch6_diff_m3,ch6_diff_mass_ugm3,ch6_sum_m3,ch6_pm_ugm3,sync_time
1,2026-06-03,15:38:25,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,323.0,3230.0,114078.0,0.01,120788.0,0.0,0.5,17.0,170.0,6004.0,0.0,6710.0,0.01,1.0,2.0,20.0,706.0,0.0,706.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T15:38:31.640536
1,2026-06-03,15:40:44,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,388.0,3880.0,137023.0,0.01,144438.0,0.0,0.5,17.0,170.0,6003.0,0.0,7415.0,0.01,1.0,3.0,30.0,1059.0,0.01,1412.0,0.01,2.5,0.0,0.0,0.0,0.0,353.0,0.02,5.0,1.0,10.0,353.0,0.2,353.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.22,2026-06-03T15:40:50.722148
1,2026-06-03,15:43:03,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,394.0,3940.0,139152.0,0.01,146568.0,0.0,0.5,18.0,180.0,6357.0,0.0,7416.0,0.01,1.0,2.0,20.0,706.0,0.0,1059.0,0.01,2.5,1.0,10.0,353.0,0.02,353.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.03,2026-06-03T15:43:09.775988
1,2026-06-03,15:45:23,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,366.0,3660.0,129274.0,0.01,134925.0,0.0,0.5,15.0,150.0,5298.0,0.0,5651.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T15:45:29.470502
1,2026-06-03,15:47:42,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,380.0,3800.0,134204.0,0.01,143385.0,0.0,0.5,20.0,200.0,7063.0,0.0,9181.0,0.01,1.0,3.0,30.0,1059.0,0.01,2118.0,0.01,2.5,2.0,20.0,706.0,0.05,1059.0,0.02,5.0,1.0,10.0,353.0,0.2,353.0,0.07,10.0,0.0,0.0,0.0,0.0,0.0,0.27,2026-06-03T15:47:48.710567
1,2026-06-03,15:50:01,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,341.0,3410.0,120434.0,0.01,126437.0,0.0,0.5,16.0,160.0,5650.0,0.0,6003.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T15:50:07.874213
1,2026-06-03,15:52:21,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,377.0,3770.0,133148.0,0.01,139152.0,0.0,0.5,17.0,170.0,6004.0,0.0,6004.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T15:52:27.521341
1,2026-06-03,15:54:40,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,338.0,3380.0,119365.0,0.01,121837.0,0.0,0.5,7.0,70.0,2472.0,0.0,2472.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T15:54:46.695517
1,2026-06-03,15:56:59,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,296.0,2960.0,104534.0,0.01,109478.0,0.0,0.5,14.0,140.0,4944.0,0.0,4944.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T15:57:05.697254
1,2026-06-03,15:59:18,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,302.0,3020.0,106653.0,0.01,111243.0,0.0,0.5,12.0,120.0,4237.0,0.0,4590.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T15:59:24.745465
1,2026-06-03,16:01:37,Location 1,60.0,0.1,True,True,True,True,False,24.2,30,0.3,280.0,2800.0,98888.0,0.01,101360.0,0.0,0.5,6.0,60.0,2119.0,0.0,2472.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:01:38.743887
1,2026-06-03,16:03:51,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,301.0,3010.0,106305.0,0.01,111602.0,0.0,0.5,15.0,150.0,5297.0,0.0,5297.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:03:57.799524
1,2026-06-03,16:06:11,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,243.0,2430.0,85814.0,0.01,88992.0,0.0,0.5,9.0,90.0,3178.0,0.0,3178.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:06:17.587557
1,2026-06-03,16:08:30,Location 1,60.0,0.1,True,True,True,True,False,24.2,30,0.3,235.0,2349.0,82986.0,0.01,84398.0,0.0,0.5,3.0,29.0,1059.0,0.0,1412.0,0.01,1.0,1.0,9.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:08:36.734420
1,2026-06-03,16:10:49,Location 1,60.0,0.1,True,True,True,True,False,24.2,30,0.3,483.0,4830.0,170593.0,0.01,178009.0,0.0,0.5,17.0,170.0,6004.0,0.0,7416.0,0.01,1.0,3.0,30.0,1059.0,0.01,1412.0,0.01,2.5,1.0,10.0,353.0,0.02,353.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.04,2026-06-03T16:10:55.888395
1,2026-06-03,16:13:09,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,278.0,2779.0,98164.0,0.01,104519.0,0.0,0.5,18.0,179.0,6355.0,0.0,6355.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:13:15.843448
1,2026-06-03,16:15:29,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,273.0,2730.0,96417.0,0.01,99948.0,0.0,0.5,10.0,100.0,3531.0,0.0,3531.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:15:35.594593
1,2026-06-03,16:17:48,Location 1,60.0,0.1,True,True,True,True,False,24.2,30,0.3,293.0,2930.0,103480.0,0.01,107364.0,0.0,0.5,10.0,100.0,3531.0,0.0,3884.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:17:54.777219
1,2026-06-03,16:20:08,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,368.0,3680.0,129965.0,0.01,137027.0,0.0,0.5,17.0,170.0,6003.0,0.0,7062.0,0.01,1.0,3.0,30.0,1059.0,0.01,1059.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.02,2026-06-03T16:20:14.691330
1,2026-06-03,16:22:27,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,322.0,3220.0,113727.0,0.01,117965.0,0.0,0.5,12.0,120.0,4238.0,0.0,4238.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:22:33.765736
1,2026-06-03,16:24:47,Location 1,60.0,0.1,True,True,True,True,False,24.2,30,0.3,343.0,3430.0,121129.0,0.01,125366.0,0.0,0.5,8.0,80.0,2825.0,0.0,4237.0,0.01,1.0,3.0,30.0,1059.0,0.01,1412.0,0.01,2.5,1.0,10.0,353.0,0.02,353.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.04,2026-06-03T16:24:53.487319
1,2026-06-03,16:27:06,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,320.0,3200.0,113015.0,0.01,115840.0,0.0,0.5,8.0,80.0,2825.0,0.0,2825.0,0.01,1.0,0.0,0.0,0.0,0.0,0.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T16:27:07.572541
1,2026-06-03,16:29:20,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,419.0,4190.0,147989.0,0.01,157171.0,0.0,0.5,23.0,230.0,8123.0,0.0,9182.0,0.01,1.0,3.0,30.0,1059.0,0.01,1059.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.02,2026-06-03T16:29:26.671084
1,2026-06-03,16:31:39,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,577.0,5769.0,203757.0,0.02,226355.0,0.0,0.5,43.0,429.0,15184.0,0.01,22598.0,0.02,1.0,8.0,79.0,2825.0,0.02,7414.0,0.03,2.5,5.0,49.0,1765.0,0.12,4589.0,0.05,5.0,6.0,59.0,2118.0,1.17,2824.0,0.17,10.0,2.0,19.0,706.0,3.12,706.0,1.34,2026-06-03T16:31:45.998164
1,2026-06-03,16:33:59,Location 1,60.0,0.1,True,True,True,True,False,24.3,30,0.3,417.0,4170.0,147280.0,0.01,158227.0,0.0,0.5,22.0,220.0,7770.0,0.0,10947.0,0.01,1.0,4.0,40.0,1412.0,0.01,3177.0,0.01,2.5,2.0,20.0,706.0,0.05,1765.0,0.02,5.0,3.0,30.0,1059.0,0.59,1059.0,0.07,10.0,0.0,0.0,0.0,0.0,0.0,0.66,2026-06-03T16:34:05.684352
1,2026-06-03,16:36:18,Location 1,60.0,0.1,True,True,True,True,False,24.4,30,0.3,447.0,4470.0,157859.0,0.01,168452.0,0.0,0.5,22.0,220.0,7769.0,0.0,10593.0,0.01,1.0,4.0,40.0,1412.0,0.01,2824.0,0.01,2.5,3.0,30.0,1059.0,0.07,1412.0,0.02,5.0,0.0,0.0,0.0,0.0,353.0,0.09,10.0,1.0,10.0,353.0,1.56,353.0,0.09,2026-06-03T16:36:24.748879
1,2026-06-03,16:38:19,Location 1,60.0,0.1,True,True,True,True,False,24.2,30,0.3,427.0,4270.0,150798.0,0.01,169867.0,0.0,0.5,33.0,330.0,11654.0,0.01,19069.0,0.01,1.0,10.0,100.0,3531.0,0.02,7415.0,0.02,2.5,7.0,70.0,2472.0,0.17,3884.0,0.04,5.0,4.0,40.0,1412.0,0.78,1412.0,0.21,10.0,0.0,0.0,0.0,0.0,0.0,0.99,2026-06-03T16:38:23.506620
1,2026-06-03,16:40:36,Location 1,60.0,0.1,True,True,True,True,False,24.1,30,0.3,469.0,4690.0,165646.0,0.01,180124.0,0.0,0.5,30.0,300.0,10595.0,0.01,14478.0,0.01,1.0,5.0,50.0,1765.0,0.01,3883.0,0.02,2.5,5.0,50.0,1765.0,0.12,2118.0,0.03,5.0,1.0,10.0,353.0,0.2,353.0,0.15,10.0,0.0,0.0,0.0,0.0,0.0,0.35,2026-06-03T16:40:42.669890
1,2026-06-03,16:42:55,Location 1,60.0,0.1,True,True,True,True,False,24.1,30,0.3,431.0,4310.0,152228.0,0.01,160703.0,0.0,0.5,20.0,200.0,7063.0,0.0,8475.0,0.01,1.0,1.0,10.0,353.0,0.0,1412.0,0.01,2.5,3.0,30.0,1059.0,0.07,1059.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.08,10.0,0.0,0.0,0.0,0.0,0.0,0.08,2026-06-03T16:43:01.694544
1,2026-06-03,16:45:14,Location 1,60.0,0.1,True,True,True,True,False,24.0,30,0.3,437.0,4370.0,154331.0,0.01,164925.0,0.0,0.5,25.0,250.0,8829.0,0.0,10594.0,0.01,1.0,3.0,30.0,1059.0,0.01,1765.0,0.01,2.5,1.0,10.0,353.0,0.02,706.0,0.02,5.0,1.0,10.0,353.0,0.2,353.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.24,2026-06-03T16:45:20.734808
1,2026-06-03,16:47:34,Location 1,60.0,0.1,True,True,True,True,False,24.1,30,0.3,371.0,3710.0,131028.0,0.01,140210.0,0.0,0.5,23.0,230.0,8123.0,0.0,9182.0,0.01,1.0,0.0,0.0,0.0,0.0,1059.0,0.01,2.5,1.0,10.0,353.0,0.02,1059.0,0.01,5.0,2.0,20.0,706.0,0.39,706.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.42,2026-06-03T16:47:35.589135
1,2026-06-03,16:49:48,Location 1,60.0,0.1,True,True,True,True,False,24.2,30,0.3,472.0,4720.0,166697.0,0.01,174465.0,0.0,0.5,16.0,160.0,5650.0,0.0,7768.0,0.01,1.0,5.0,50.0,1765.0,0.01,2118.0,0.01,2.5,0.0,0.0,0.0,0.0,353.0,0.02,5.0,1.0,10.0,353.0,0.2,353.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.22,2026-06-03T16:49:54.597663
1,2026-06-03,16:52:07,Location 1,60.0,0.1,True,True,True,True,False,24.0,30,0.3,1170.0,11700.0,413182.0,0.03,434723.0,0.0,0.5,51.0,510.0,18010.0,0.01,21541.0,0.03,1.0,8.0,80.0,2825.0,0.02,3531.0,0.04,2.5,2.0,20.0,706.0,0.05,706.0,0.06,5.0,0.0,0.0,0.0,0.0,0.0,0.11,10.0,0.0,0.0,0.0,0.0,0.0,0.11,2026-06-03T16:52:13.662809
1,2026-06-03,16:54:26,Location 1,60.0,0.1,True,True,True,True,False,24.0,30,0.3,662.0,6620.0,233796.0,0.02,250041.0,0.0,0.5,30.0,300.0,10595.0,0.01,16245.0,0.02,1.0,8.0,80.0,2825.0,0.02,5650.0,0.03,2.5,1.0,10.0,353.0,0.02,2825.0,0.05,5.0,7.0,70.0,2472.0,1.37,2472.0,0.07,10.0,0.0,0.0,0.0,0.0,0.0,1.44,2026-06-03T16:54:32.730162
1,2026-06-03,16:56:46,Location 1,60.0,0.1,True,True,True,True,False,24.0,30,0.3,736.0,7359.0,259905.0,0.02,273323.0,0.0,0.5,34.0,339.0,12006.0,0.01,13418.0,0.02,1.0,1.0,9.0,353.0,0.0,1412.0,0.03,2.5,2.0,19.0,706.0,0.05,1059.0,0.03,5.0,1.0,9.0,353.0,0.2,353.0,0.08,10.0,0.0,0.0,0.0,0.0,0.0,0.28,2026-06-03T16:56:49.294327
1,2026-06-03,16:59:02,Location 1,60.0,0.1,True,True,True,True,False,23.9,30,0.3,806.0,8060.0,284659.0,0.02,296313.0,0.0,0.5,30.0,300.0,10595.0,0.01,11654.0,0.02,1.0,3.0,30.0,1059.0,0.01,1059.0,0.03,2.5,0.0,0.0,0.0,0.0,0.0,0.04,5.0,0.0,0.0,0.0,0.0,0.0,0.04,10.0,0.0,0.0,0.0,0.0,0.0,0.04,2026-06-03T16:59:08.535227
1,2026-06-03,17:01:21,Location 1,60.0,0.1,True,True,True,True,False,24.1,30,0.3,489.0,4890.0,172702.0,0.01,179765.0,0.0,0.5,18.0,180.0,6357.0,0.0,7063.0,0.01,1.0,1.0,10.0,353.0,0.0,706.0,0.01,2.5,0.0,0.0,0.0,0.0,353.0,0.01,5.0,1.0,10.0,353.0,0.2,353.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.21,2026-06-03T17:01:27.943873
1,2026-06-03,17:07:16,Location 1,60.0,0.1,True,True,True,True,False,23.9,30,0.3,443.0,4430.0,156463.0,0.01,162113.0,0.0,0.5,15.0,150.0,5297.0,0.0,5650.0,0.01,1.0,1.0,10.0,353.0,0.0,353.0,0.01,2.5,0.0,0.0,0.0,0.0,0.0,0.01,5.0,0.0,0.0,0.0,0.0,0.0,0.01,10.0,0.0,0.0,0.0,0.0,0.0,0.01,2026-06-03T17:07:17.661392
1,2026-06-03,17:09:30,Location 1,60.0,0.1,True,True,True,True,False,23.9,30,0.3,699.0,6989.0,246846.0,0.02,257792.0,0.0,0.5,25.0,249.0,8828.0,0.0,10946.0,0.02,1.0,6.0,59.0,2118.0,0.01,2118.0,0.02,2.5,0.0,0.0,0.0,0.0,0.0,0.03,5.0,0.0,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.03,2026-06-03T17:11:06.108897
2,2026-06-03,17:11:04,Location 1,60.0,0.1,True,True,True,True,False,24.0,30,0.3,644.0,6440.0,227448.0,0.02,238395.0,0.0,0.5,25.0,250.0,8829.0,0.0,10947.0,0.02,1.0,5.0,50.0,1765.0,0.01,2118.0,0.02,2.5,1.0,10.0,353.0,0.02,353.0,0.03,5.0,0.0,0.0,0.0,0.0,0.0,0.05,10.0,0.0,0.0,0.0,0.0,0.0,0.05,2026-06-03T17:11:06.470263
1,2026-06-03,17:13:19,Location 1,60.0,0.1,True,True,True,True,False,24.1,30,0.3,602.0,6019.0,212584.0,0.02,219999.0,0.0,0.5,19.0,189.0,6709.0,0.0,7415.0,0.02,1.0,2.0,19.0,706.0,0.0,706.0,0.02,2.5,0.0,0.0,0.0,0.0,0.0,0.02,5.0,0.0,0.0,0.0,0.0,0.0,0.02,10.0,0.0,0.0,0.0,0.0,0.0,0.02,2026-06-03T17:13:20.668571
1,2026-06-03,17:15:33,Location 1,60.0,0.1,True,True,True,True,False,24.0,30,0.3,713.0,7131.0,251831.0,0.02,263486.0,0.0,0.5,31.0,310.0,10949.0,0.01,11655.0,0.02,1.0,2.0,20.0,706.0,0.0,706.0,0.03,2.5,0.0,0.0,0.0,0.0,0.0,0.03,5.0,0.0,0.0,0.0,0.0,0.0,0.03,10.0,0.0,0.0,0.0,0.0,0.0,0.03,2026-06-03T17:15:39.853534
