record_number,date,time,location,sample_duration_s,flow_CFM,laser_ok,flow_ok,temp_ok,rh_ok,temp_C,RH_pct,ch1_size_um,ch1_diff_counts,ch1_diff_ft3,ch1_diff_m3,ch1_diff_mass_ugm3,ch1_sum_m3,ch1_pm_ugm3,ch2_size_um,ch2_diff_counts,ch2_diff_ft3,ch2_diff_m3,ch2_diff_mass_ugm3,ch2_sum_m3,ch2_pm_ugm3,ch3_size_um,ch3_diff_counts,ch3_diff_ft3,ch3_diff_m3,ch3_diff_mass_ugm3,ch3_sum_m3,ch3_pm_ugm3,ch4_size_um,ch4_diff_counts,ch4_diff_ft3,ch4_diff_m3,ch4_diff_mass_ugm3,ch4_sum_m3,ch4_pm_ugm3,ch5_size_um,ch5_diff_counts,ch5_diff_ft3,ch5_diff_m3,ch5_diff_mass_ugm3,ch5_sum_m3,ch5_pm_ugm3,ch6_size_um,ch6_diff_counts,ch6_diff_ft3,ch6_diff_m3,ch6_diff_mass_ugm3,ch6_sum_m3,ch6_pm_ugm3,snapshot_time
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:49:29.676039
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:49:40.039572
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:49:50.398721
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:50:00.763107
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:50:11.122613
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:50:21.491551
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:50:31.858229
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:50:42.217269
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:50:52.614078
0,,,,60.0,0.1,False,False,True,True,,,0.3,3566.0,35659.0,1259287.0,0.11,1407601.0,0.0,0.5,210.0,2099.0,74158.0,0.04,148314.0,0.11,1.0,104.0,1039.0,36726.0,0.26,74156.0,0.15,2.5,65.0,649.0,22953.0,1.58,37430.0,0.41,5.0,34.0,339.0,12006.0,6.63,14477.0,1.99,10.0,7.0,69.0,2471.0,10.92,2471.0,8.62,2026-05-28T14:51:02.974712
